,v3s,,,v3s2,,,v3s3,,,v3s5,,,v3s7,,,v3s9,,
abp4p2ff,SAT,17,1.546,SAT,17,1.9792,SAT,16,3.4598,SAT,14,7.5619,SAT,12,16.623,SAT,10,17.816
abp4p2tt,SAT,18,2.2105,SAT,16,1.8087,SAT,16,2.835,SAT,12,11.582,SAT,12,25.732,SAT,9,19.975
abp4pold,SAT,17,1.4766,SAT,17,1.8857,SAT,14,1.5965,SAT,14,8.0236,SAT,12,16.412,SAT,10,16.244
abp4ptimo,SAT,19,2.6388,SAT,17,4.6334,SAT,17,3.6658,SAT,13,6.697,SAT,14,52.723,SAT,12,14.197
abp4ptimoneg,SAT,19,2.677,SAT,17,4.6862,SAT,17,4.6017,SAT,15,16.716,SAT,14,51.033,SAT,11,32.68
bc57sensorsp0,SAT,62,83.418,SAT,97,283.35,SAT,55,277.89,SAT,72,222.67,SAT,70,468.81,SAT,70,446.53
bc57sensorsp0neg,SAT,79,552.23,SAT,79,453.94,SAT,58,149.99,SAT,58,277,SAT,67,672.69,SAT,59,619.5
bc57sensorsp1,timeout,,,SAT,73,277.92,SAT,87,306,SAT,79,467.77,timeout,,,SAT,72,797.68
bc57sensorsp1neg,SAT,88,518.54,timeout,,,SAT,82,344.49,SAT,70,363.29,SAT,74,642.1,timeout,,
bc57sensorsp2,SAT,71,594.88,timeout,,,SAT,63,183.03,SAT,71,759.4,SAT,83,715.2,timeout,,
bc57sensorsp2neg,SAT,54,292.07,SAT,82,216.75,SAT,65,464.3,SAT,57,309.64,SAT,70,750.77,timeout,,
bc57sensorsp3,SAT,78,351.84,timeout,,,SAT,66,244.66,SAT,70,205.93,SAT,60,406.83,SAT,75,562.11
beemadd3b1,SAT,8,84.116,SAT,7,66.186,SAT,7,4.9999,timeout,,,timeout,,,SAT,3,136.51
beemadd4b1,timeout,,,SAT,7,62.898,SAT,5,22.974,timeout,,,SAT,3,81.207,SAT,3,94.699
beemandrsn4b1,UNSAT,16,706.46,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemandrsn6b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemandrsn7f1,SAT,10,860.26,SAT,8,257.42,timeout,,,SAT,5,196.79,timeout,,,timeout,,
beemat1b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemat1f1,timeout,,,timeout,,,UNSAT,44,245.21,UNSAT,31,802.09,UNSAT,25,621.48,UNSAT,35,489.33
beemat4f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beembkry1b1,UNSAT,20,17.75,UNSAT,20,24.696,UNSAT,14,24.782,UNSAT,15,65.91,UNSAT,20,167.25,UNSAT,15,255.17
beembkry5b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beembkry7f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemblks2b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemblks3f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beembrdg2f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beembrdg3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beembrdg3f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beembrp1f1,UNSAT,105,283.98,UNSAT,94,169.46,UNSAT,112,478.94,UNSAT,108,659.43,UNSAT,104,635.3,timeout,,
beembrptwo1b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beembrptwo1f2,UNSAT,59,35.764,UNSAT,47,129.55,UNSAT,37,69.774,UNSAT,59,316.47,UNSAT,40,102.01,UNSAT,36,207.28
beembrptwo4b1,SAT,33,48.367,SAT,37,119.97,SAT,60,248.16,SAT,35,232.53,timeout,,,SAT,24,659.88
beembrptwo5f2,timeout,,,UNSAT,86,460.06,timeout,,,UNSAT,69,698.32,UNSAT,91,694.46,timeout,,
beemcmbrdg1b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemcmbrdg1f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemcoll1b1,UNSAT,14,48.776,UNSAT,11,73.82,UNSAT,14,113.85,UNSAT,12,261.7,UNSAT,9,400.31,UNSAT,8,575.53
beemcoll3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemcoll4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemexit5f1,UNSAT,20,34.415,UNSAT,18,40.597,UNSAT,20,57.788,UNSAT,19,63.743,UNSAT,20,78.025,UNSAT,16,124.24
beemextnc1b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemextnc3b1,SAT,7,243.38,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemfish4f1,UNSAT,14,12.84,UNSAT,31,58.771,UNSAT,21,33.416,UNSAT,17,91.509,UNSAT,16,147,UNSAT,18,194.19
beemfish6b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemfrogs1b1,timeout,,,SAT,8,762.82,SAT,10,632.36,timeout,,,timeout,,,timeout,,
beemfrogs1f1,SAT,16,382.01,SAT,15,373.59,SAT,18,815.71,SAT,11,61.176,timeout,,,timeout,,
beemfwt1b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemfwt1f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemfwt5f2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemgear1f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemgear2b1,SAT,8,1.9277,SAT,26,6.0294,SAT,17,9.0609,SAT,17,15.977,SAT,8,14.221,SAT,16,33.698
beemgear2f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemhanoi1b1,SAT,7,246.36,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemhanoi1f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemkrebs3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemkrebs3f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemkrebs4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlann2b1,timeout,,,UNSAT,21,833.58,timeout,,,timeout,,,timeout,,,timeout,,
beemlann2f1,UNSAT,48,696.05,UNSAT,31,7.7025,UNSAT,34,24.593,UNSAT,39,63.193,UNSAT,27,90.088,UNSAT,26,47.087
beemlann4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldelec1b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldelec4b1,SAT,5,160.71,SAT,4,251.06,SAT,3,96.734,SAT,3,527.75,timeout,,,timeout,,
beemldfilt1f1,UNSAT,117,845.59,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldfilt3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldfilt4b1,UNSAT,18,844.2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldfilt5b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlifts2b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlifts3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlifts8b1,SAT,6,61.039,SAT,5,204.93,SAT,3,104.69,timeout,,,timeout,,,timeout,,
beemlmprt1b1,UNSAT,21,104.15,UNSAT,15,81.956,UNSAT,18,153.16,UNSAT,19,272.99,UNSAT,19,667.1,timeout,,
beemlmprt5b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlmprt5f1,UNSAT,24,7.9362,UNSAT,23,7.885,UNSAT,25,9.7098,UNSAT,24,31.606,UNSAT,22,39.45,UNSAT,19,69.515
beemlmprt7b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemloyd2b1,SAT,8,8.7988,SAT,6,20.123,SAT,7,41.04,SAT,4,31.564,SAT,4,63.22,SAT,4,65.878
beemloyd3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlptna5f1,UNSAT,23,40.004,UNSAT,22,38.817,UNSAT,25,182.16,UNSAT,23,194.15,UNSAT,22,743.72,UNSAT,20,762.02
beemmcs1f1,UNSAT,31,9.9895,UNSAT,14,2.5673,UNSAT,21,5.679,UNSAT,24,32.13,UNSAT,26,78.052,UNSAT,23,92.095
beemmcs3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemmcs4b1,UNSAT,16,410.9,UNSAT,13,431.71,UNSAT,13,615.64,timeout,,,timeout,,,timeout,,
beemmsmie1b1,UNSAT,16,73.436,UNSAT,10,60.15,UNSAT,11,150.92,UNSAT,9,329.96,timeout,,,timeout,,
beemmsmie3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemmsmie3f1,UNSAT,17,676.16,timeout,,,UNSAT,15,703.19,timeout,,,timeout,,,timeout,,
beemndhm2b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemndhm2f2,UNSAT,11,43.792,UNSAT,10,33.034,UNSAT,9,60.583,UNSAT,7,136.95,UNSAT,9,290.85,UNSAT,9,430.35
beemndhm3b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
