,V3s,,,V3sTem3,,,,v3s,,,V3sTem3,,,v3sTem5,,,v3sTem7,,
6s0,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s100,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s102,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s105,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s108,UNSAT,12,26.144,UNSAT,9,48.083,,UNSAT,12,28.374,UNSAT,9,58.844,UNSAT,9,59.079,UNSAT,9,57.67
6s109,UNSAT,13,235.27,UNSAT,13,235.41,,UNSAT,13,257.51,UNSAT,13,256.41,UNSAT,13,255.59,UNSAT,13,257.09
6s10,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s119,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s11,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s120,UNSAT,8,1.287,UNSAT,6,1.2307,,UNSAT,8,1.3199,UNSAT,6,1.3922,UNSAT,6,1.4206,UNSAT,6,1.4061
6s121,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s122,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s12,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s130,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s131,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s132,UNSAT,9,23.233,UNSAT,7,26.934,,UNSAT,9,25.426,UNSAT,7,29.364,UNSAT,7,29.507,UNSAT,7,29.498
6s133,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s134,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s136,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s13,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s144,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s145,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s147,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s148,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s149,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s14,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s150,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s151,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s152,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s157,SAT,3,0.64744,SAT,3,1.6366,,SAT,3,0.66065,SAT,3,1.816,SAT,3,1.8293,SAT,3,1.8057
6s158,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s159,UNSAT,37,7.53,UNSAT,37,7.4171,,UNSAT,37,8.057,UNSAT,37,8.0012,UNSAT,37,8.1845,UNSAT,37,8.2292
6s15,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s160,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s161,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s162,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s163,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s164,UNSAT,32,315.89,UNSAT,35,52.368,,UNSAT,32,372.6,UNSAT,35,56.619,UNSAT,35,56.86,UNSAT,35,57.151
6s16,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s171,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s172,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s173,UNSAT,26,99.969,UNSAT,19,87.098,,UNSAT,26,105.74,UNSAT,19,93.463,UNSAT,19,93.708,UNSAT,19,93.492
6s174,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s177,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s178,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s179,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s17,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s180,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s181,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s182,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s183,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s184,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s185,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s186,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s187,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s188,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s189,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s18,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s190,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s191,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s192,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s193,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s194,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s195,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s196,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s197,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s198,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s199,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s19,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s202b00,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s202b41,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s203b19,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s203b41,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s204b16,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s204b19,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s205b16,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s205b20,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s206rb025,UNSAT,5,43.326,UNSAT,9,83.241,,UNSAT,5,43.671,UNSAT,9,83.319,UNSAT,9,83.598,UNSAT,9,83.421
6s206rb103,UNSAT,11,81.992,UNSAT,11,88.257,,UNSAT,11,82.46,UNSAT,11,88.671,UNSAT,11,88.757,UNSAT,11,88.693
6s207rb16,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s207rb28,unknown,,,SAT,5,192.9,,unknown,,,SAT,5,201.99,SAT,5,202.09,SAT,5,202.42
6s209b0,UNSAT,7,17.416,UNSAT,7,16.174,,UNSAT,7,17.391,UNSAT,7,16.076,UNSAT,7,16.113,UNSAT,7,16.039
6s209b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s20,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s210b037,SAT,6,0.74361,SAT,4,0.33083,,SAT,6,0.75,SAT,4,0.35707,SAT,4,0.39872,SAT,4,0.3959
6s210b105,SAT,6,0.44663,SAT,4,0.38368,,SAT,6,0.44721,SAT,4,0.46292,SAT,4,0.40258,SAT,4,0.45963
6s215rb0,SAT,9,13.236,SAT,7,7.3423,,SAT,9,13.396,SAT,7,7.8635,SAT,7,7.9716,SAT,7,7.8162
6s216rb0,SAT,12,11.086,SAT,11,33.167,,SAT,12,11.345,SAT,11,35.376,SAT,11,35.368,SAT,11,35.1
6s218b1246,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s218b2950,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s21,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s221rb14,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s221rb18,UNSAT,3,0.2708,UNSAT,3,1.5143,,UNSAT,3,0.27025,UNSAT,3,1.5448,UNSAT,3,1.5437,UNSAT,3,1.5585
6s22,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s23,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s24,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s25,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s266rb2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s267rb3,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s268r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s269r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s26,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s270b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s271rb045,UNSAT,8,173.6,unknown,,,,UNSAT,8,174.47,unknown,,,unknown,,,unknown,,
6s271rb079,UNSAT,8,42.517,UNSAT,7,46.951,,UNSAT,8,42.843,UNSAT,7,47.493,UNSAT,7,47.516,UNSAT,7,47.374
6s273b11,UNSAT,21,396.15,UNSAT,15,226.17,,UNSAT,21,398.11,UNSAT,15,227.14,UNSAT,15,227.07,UNSAT,15,227.45
6s273b37,UNSAT,18,260.78,UNSAT,16,132.82,,UNSAT,18,262.82,UNSAT,16,133.44,UNSAT,16,133.09,UNSAT,16,133.45
6s274r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s275rb253,UNSAT,6,10.187,UNSAT,4,11.57,,UNSAT,6,10.089,UNSAT,4,11.843,UNSAT,4,11.83,UNSAT,4,11.893
6s275rb318,UNSAT,6,9.9888,UNSAT,4,11.613,,UNSAT,6,10.124,UNSAT,4,11.826,UNSAT,4,11.775,UNSAT,4,11.795
6s276rb318,UNSAT,12,12.835,UNSAT,10,15.658,,UNSAT,12,12.834,UNSAT,10,15.893,UNSAT,10,15.883,UNSAT,10,15.869
6s276rb342,UNSAT,12,10.599,UNSAT,10,12.384,,UNSAT,12,10.713,UNSAT,10,12.555,UNSAT,10,12.5,UNSAT,10,12.532
6s277rb292,UNSAT,12,12.847,UNSAT,10,15.962,,UNSAT,12,12.925,UNSAT,10,16.242,UNSAT,10,16.288,UNSAT,10,16.287
6s277rb342,UNSAT,12,10.685,UNSAT,10,12.387,,UNSAT,12,10.761,UNSAT,10,12.618,UNSAT,10,12.506,UNSAT,10,12.552
6s279r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s27,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
